provider,technology,plan,monthly_price_usd,advertised_mbps_down,source_url,as_of,notes
Xfinity,Cable,500 Mbps,55.0,500.0,https://www.highspeedinternet.com/providers/xfinity/internet,2026-09,carried over from pricing_snapshot.csv
Spectrum,Cable,300 Mbps,50.0,300.0,https://www.cabletv.com/spectrum/internet,2026-09,carried over from pricing_snapshot.csv
Cox,Cable,StraightUp Internet,50.0,100.0,https://www.cabletv.com/cox/internet,2026-09,Cox Starter 25 also listed at $20 to $30; Cox merged into Spectrum on 2026-09-16 and new customers are now offered Spectrum plans
Optimum,Cable,300 Mbps,30.0,300.0,https://www.highspeedinternet.com/providers/optimum/internet,2026-09,introductory price; rises to $40 in year 2 and $55 in year 3
Mediacom,Cable,Xtream Internet 300,50.0,300.0,https://www.cabletv.com/mediacom/internet,2026-09,standard rate; a $30 two-year promo is also advertised
Midco,Cable,Internet 250,49.0,250.0,https://www.highspeedinternet.com/providers/midco/internet,2026-09,12-month price with autopay; an entry tier from $30 is also advertised without a clear speed pairing
Sparklight,Cable,Internet (entry),39.95,,https://www.sparklight.com/internet,2026-09,12-month price on provider site; speed tier not stated in source summary; equipment $10 to $24.95 extra
GCI Communication,Cable,No Worries 250,89.99,250.0,https://www.gci.com/internet,2026-09,starting price per provider site summary
AT&T Internet,DSL (Copper),,,,https://www.cabletv.com/att/internet,2026-09,AT&T stopped selling DSL to new customers in 2023; no current published price
CenturyLink,DSL (Copper),Simply Unlimited Internet (entry),50.0,,https://www.highspeedinternet.com/providers/centurylink/internet,2026-09,entry price; speed varies by address up to 140 Mbps; $15 modem fee extra
Verizon High Speed Internet,DSL (Copper),High Speed Internet,40.0,15.0,https://www.highspeedinternet.com/providers/verizon/internet,2026-09,month-to-month
Consolidated Communications,DSL (Copper),DSL,25.0,18.0,https://www.allconnect.com/providers/consolidated-communications,2026-09,"$25 for up to 18 Mbps per allconnect.com; other sources give $33 to $75 across all plans; low confidence, but any price in that range leaves DSL far above LEO satellite per Mbps, so no finding depends on it"
